X,Y,NAME,LINE,NOTE
986725,205255,Astor Pl,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
984197,201156,Canal St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
988724,216795,50th St,1-2,"1-all times, 2-nights"
991184,187334,Bergen St,2-3-4,"4-nights, 3-all other times, 2-all times"
1013412,181467,Pennsylvania Ave,3-4,"4-nights, 3-all other times"
1011661,261601,238th St,1,"1-all times, exit only northbound"
995860,230953,Cathedral Pkwy (110th St),A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights"
1000654,186995,Kingston - Throop Aves,A-C,"A-nights, C-all other times"
1012293,212436,65th St,E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
1003917,213244,36th St,E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
987740,200975,Delancey St - Essex St,J-M-Z,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound"
1014301,186319,Van Siclen Ave,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
1017637,187595,Norwood Ave,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
1027388,192582,104th-102nd Sts,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
989305,190899,DeKalb Ave,B-D-N-Q-R,"B-weekdays and evenings, D-all other times, N-nights, R-all other times, Q-all times"
1032142,151824,Beach 105th St,A-S,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
1036008,153589,Beach 90th St,A-S,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
1014206,241683,Freeman St,2-5,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
1012863,238823,Intervale Ave,2-5,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
1011708,251191,182nd-183rd Sts,B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
1009113,247474,174th-175th Sts,B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
1006822,243052,167th St,B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
1027020,214244,Mets - Willets Point,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
1020401,212237,Junction Blvd,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
1031337,216065,Flushing - Main St,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
1030573,247837,Buhre Ave,6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
1004697,234564,3rd Ave - 138th St,6-6 Express,"6-all times, 6 Express-weekdays AM southbound, PM northbound"
1025420,243254,Castle Hill Ave,6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
983105,199065,Brooklyn Bridge - City Hall,4-5-6-6 Express,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
1026577,244069,Zerega Ave,6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
990702,213181,Grand Central - 42nd St,4-5-6-6 Express,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
989217,211095,33rd St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
997800,225522,96th St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
995364,221130,77th St,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
1009105,188070,Chauncey St,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
988935,186041,Union St,D-N-R,"D,N-nights, R-all other times"
1016939,209764,Elmhurst Ave,E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
